Passenger Arrivals by Nationality,Gender,Total Passenger Arrivals by Nationality,Year
Bolivia,Male,359,2000
Brazil,Female,1541,2000
Brazil,Male,2142,2000
Colombia,Female,11551,2000
Colombia,Male,12435,2000
Chile,Female,8351,2000
Chile,Male,8448,2000
Ecuador,Female,1401,2000
Ecuador,Male,1836,2000
Peru,Female,4625,2000
Peru,Male,5122,2000
Venezuela,Female,16426,2000
Venezuela,Male,19496,2000
Other South America,Female,1981,2000
Other South America,Male,2264,2000
Europe,Female,608301,2000
Europe,Male,693262,2000
Germany,Female,207630,2000
Germany,Male,244290,2000
Austria,Female,11256,2000
Austria,Male,12207,2000
Belgium,Female,17948,2000
Belgium,Male,19522,2000
Spain,Female,65144,2000
Spain,Male,85044,2000
Finland,Female,4765,2000
Finland,Male,4333,2000
France,Female,86020,2000
France,Male,88238,2000
Netherlands,Female,17838,2000
Netherlands,Male,21004,2000
United Kingdom,Female,57460,2000
United Kingdom,Male,59740,2000
Italy,Female,61946,2000
Italy,Male,73349,2000
Portugal,Female,12863,2000
Portugal,Male,14354,2000
Sweden,Female,23463,2000
Sweden,Male,24961,2000
Switzerland,Female,21738,2000
Switzerland,Male,24424,2000
Other Europe,Female,20230,2000
Other Europe,Male,21796,2000
Asia,Female,1444,2000
Asia,Male,2766,2000
India,Female,167,2000
India,Male,265,2000
Japan,Female,1024,2000
Japan,Male,2108,2000
Thailand,Female,10,2000
Thailand,Male,19,2000
Taiwan,Female,243,2000
Taiwan,Male,374,2000
Rest of the World,Female,8108,2000
Rest of the World,Male,14226,2000
Other Rest of the World,Female,8108,2000
Other Rest of the World,Male,14226,2000
Resident Dominicans,Female,148793,2001
Resident Dominicans,Male,139406,2001
Resident Foreigners,Female,9118,2001
Resident Foreigners,Male,13637,2001
Non-Resident Dominicans,Female,258116,2001
Non-Resident Dominicans,Male,225850,2001
Non-Resident Foreigners,Female,1142795,2001
Non-Resident Foreigners,Male,1242154,2001
North America,Female,484063,2001
North America,Male,509231,2001
Canada,Female,154887,2001
Canada,Male,139786,2001
United States,Female,324421,2001
United States,Male,360301,2001
Mexico,Female,4755,2001
Mexico,Male,9144,2001
Central America and Caribbean,Female,17874,2001
Central America and Caribbean,Male,25032,2001
Aruba,Female,30,2001
Aruba,Male,56,2001
Costa Rica,Female,1088,2001
Costa Rica,Male,2178,2001
Cuba,Female,1724,2001
Cuba,Male,2739,2001
Curacao,Female,234,2001
Curacao,Male,441,2001
El Salvador,Female,785,2001
El Salvador,Male,1146,2001
Guatemala,Female,661,2001
Guatemala,Male,1269,2001
Haiti,Female,316,2001
Haiti,Male,855,2001
Honduras,Female,213,2001
Honduras,Male,378,2001
Jamaica,Female,464,2001
Jamaica,Male,1069,2001
Panama,Female,1357,2001
Panama,Male,2503,2001
Puerto Rico,Female,9798,2001
Puerto Rico,Male,10663,2001
Saint Martin,Female,188,2001
Saint Martin,Male,217,2001
Other Caribbean,Female,1016,2001
Other Caribbean,Male,1518,2001
South America,Female,90987,2001
South America,Male,95173,2001
Argentina,Female,33239,2001
Argentina,Male,30945,2001
Bolivia,Female,274,2001
Bolivia,Male,407,2001
Brazil,Female,1193,2001
Brazil,Male,1915,2001
Colombia,Female,14533,2001
Colombia,Male,15341,2001
Chile,Female,7394,2001
Chile,Male,8924,2001
Ecuador,Female,2241,2001
Ecuador,Male,2579,2001
Peru,Female,5966,2001
Peru,Male,6263,2001
Venezuela,Female,24676,2001
Venezuela,Male,27414,2001
Other South America,Female,1471,2001
Other South America,Male,1385,2001
Europe,Female,547636,2001
Europe,Male,608747,2001
Germany,Female,165883,2001
Germany,Male,186847,2001
Austria,Female,6767,2001
Austria,Male,6928,2001
Belgium,Female,13548,2001
Belgium,Male,14551,2001
Spain,Female,66864,2001
Spain,Male,78822,2001
Finland,Female,3422,2001
Finland,Male,3452,2001
France,Female,100222,2001
France,Male,103335,2001
Netherlands,Female,14698,2001
Netherlands,Male,18016,2001
United Kingdom,Female,65139,2001
United Kingdom,Male,74503,2001
Italy,Female,54540,2001
Italy,Male,63504,2001
Portugal,Female,12394,2001
Portugal,Male,12336,2001
Sweden,Female,12266,2001
Sweden,Male,13547,2001
Switzerland,Female,20614,2001
Switzerland,Male,21430,2001
Other Europe,Female,11279,2001
Other Europe,Male,11476,2001
Asia,Female,914,2001
Asia,Male,2140,2001
India,Female,82,2001
India,Male,295,2001
Japan,Female,708,2001
Japan,Male,1445,2001
Thailand,Male,20,2001
Taiwan,Female,124,2001
Taiwan,Male,380,2001
Rest of the World,Female,1321,2001
Rest of the World,Male,1831,2001
Other Rest of the World,Female,1321,2001
Other Rest of the World,Male,1831,2001
Resident Dominicans,Female,140444,2002
Resident Dominicans,Male,145825,2002
Resident Foreigners,Female,9116,2002
Resident Foreigners,Male,16115,2002
Non-Resident Dominicans,Female,260053,2002
Non-Resident Dominicans,Male,237526,2002
Non-Resident Foreigners,Female,1113604,2002
Non-Resident Foreigners,Male,1182026,2002
North America,Female,511938,2002
North America,Male,532165,2002
Canada,Female,165654,2002
Canada,Male,147837,2002
United States,Female,338586,2002
United States,Male,372289,2002
Mexico,Female,7698,2002
Mexico,Male,12039,2002
Central America and Caribbean,Female,29163,2002
Central America and Caribbean,Male,34459,2002
Aruba,Female,40,2002
Aruba,Male,57,2002
Costa Rica,Female,1412,2002
Costa Rica,Male,2868,2002
Cuba,Female,2592,2002
Cuba,Male,4370,2002
Curacao,Female,311,2002
Curacao,Male,635,2002
El Salvador,Female,741,2002
El Salvador,Male,1233,2002
Guatemala,Female,954,2002
Guatemala,Male,1782,2002
Haiti,Female,438,2002
Haiti,Male,882,2002
Honduras,Female,280,2002
Honduras,Male,403,2002
Jamaica,Female,487,2002
Jamaica,Male,1145,2002
Panama,Female,1619,2002
Panama,Male,2962,2002
Puerto Rico,Female,18609,2002
Puerto Rico,Male,15934,2002
Saint Martin,Female,104,2002
Saint Martin,Male,210,2002
Other Caribbean,Female,1576,2002
Other Caribbean,Male,1978,2002
South America,Female,63319,2002
South America,Male,72105,2002
Argentina,Female,5406,2002
Argentina,Male,8091,2002
Bolivia,Female,338,2002
Bolivia,Male,394,2002
Brazil,Female,1388,2002
Brazil,Male,2581,2002
Colombia,Female,18517,2002
Colombia,Male,19563,2002
Chile,Female,8862,2002
Chile,Male,9068,2002
Ecuador,Female,2459,2002
Ecuador,Male,2950,2002
Peru,Female,5744,2002
Peru,Male,7260,2002
Venezuela,Female,19671,2002
Venezuela,Male,21043,2002
Other South America,Female,934,2002
Other South America,Male,1155,2002
Europe,Female,507003,2002
Europe,Male,539317,2002
Germany,Female,117192,2002
Germany,Male,123354,2002
Austria,Female,5057,2002
Austria,Male,4943,2002
Belgium,Female,17815,2002
Belgium,Male,17545,2002
Spain,Female,62446,2002
Spain,Male,73076,2002
Finland,Female,1773,2002
Finland,Male,1730,2002
France,Female,121382,2002
France,Male,120640,2002
Netherlands,Female,15351,2002
Netherlands,Male,17156,2002
United Kingdom,Female,68945,2002
United Kingdom,Male,77312,2002
Italy,Female,53251,2002
Italy,Male,60318,2002
Portugal,Female,12916,2002
Portugal,Male,11066,2002
Sweden,Female,3000,2002
Sweden,Male,3621,2002
Switzerland,Female,18016,2002
Switzerland,Male,18320,2002
Other Europe,Female,9859,2002
Other Europe,Male,10236,2002
Asia,Female,771,2002
Asia,Male,1799,2002
India,Female,41,2002
India,Male,202,2002
Japan,Female,526,2002
Japan,Male,1108,2002
Taiwan,Female,204,2002
Taiwan,Male,489,2002
Rest of the World,Female,1410,2002
Rest of the World,Male,2181,2002
Other Rest of the World,Female,1410,2003
Other Rest of the World,Male,2181,2003
Resident Dominicans,Female,133137,2003
Resident Dominicans,Male,140220,2003
Resident Foreigners,Female,11076,2003
Resident Foreigners,Male,17276,2003
Non-Resident Dominicans,Female,267827,2003
Non-Resident Dominicans,Male,255761,2003
Non-Resident Foreigners,Female,1349495,2003
Non-Resident Foreigners,Male,1409055,2003
North America,Female,643870,2003
North America,Male,654687,2003
Canada,Female,221637,2003
Canada,Male,191248,2003
United States,Female,416984,2003
United States,Male,454276,2003
Mexico,Female,5249,2003
Mexico,Male,9163,2003
Central America and Caribbean,Female,40667,2003
Central America and Caribbean,Male,48106,2003
Aruba,Female,71,2003
Aruba,Male,138,2003
Costa Rica,Female,1268,2003
Costa Rica,Male,2246,2003
Cuba,Female,2804,2003
Cuba,Male,3982,2003
Curacao,Female,180,2003
Curacao,Male,394,2003
El Salvador,Female,716,2003
El Salvador,Male,957,2003
Guatemala,Female,1157,2003
Guatemala,Male,2466,2003
Haiti,Female,1487,2003
Haiti,Male,2446,2003
Honduras,Female,462,2003
Honduras,Male,687,2003
Jamaica,Female,573,2003
Jamaica,Male,766,2003
Panama,Female,1201,2003
Panama,Male,1999,2003
Puerto Rico,Female,29137,2003
Puerto Rico,Male,29412,2003
Saint Martin,Female,137,2003
Saint Martin,Male,198,2003
Other Caribbean,Female,1474,2003
Other Caribbean,Male,2415,2003
South America,Female,43221,2003
South America,Male,53655,2003
Argentina,Female,4114,2003
Argentina,Male,6147,2003
Bolivia,Female,153,2003
Bolivia,Male,342,2003
Brazil,Female,1980,2003
Brazil,Male,3111,2003
Colombia,Female,11565,2003
Colombia,Male,13101,2003
Chile,Female,8500,2003
Chile,Male,8449,2003
Ecuador,Female,1926,2003
Ecuador,Male,2323,2003
Peru,Female,4394,2003
Peru,Male,4696,2003
Venezuela,Female,10126,2003
Venezuela,Male,14704,2003
Other South America,Female,463,2003
Other South America,Male,782,2003
Europe,Female,619061,2003
Europe,Male,647981,2003
Germany,Female,119568,2003
Germany,Male,123680,2003
Austria,Female,5095,2003
Austria,Male,4940,2003
Belgium,Female,25580,2003
Belgium,Male,24938,2003
Spain,Female,95323,2003
Spain,Male,106727,2003
Finland,Female,781,2003
Finland,Male,559,2003
France,Female,160073,2003
France,Male,157547,2003
Netherlands,Female,18162,2003
Netherlands,Male,21737,2003
United Kingdom,Female,84949,2003
United Kingdom,Male,86808,2003
Italy,Female,62931,2003
Italy,Male,72539,2003
Portugal,Female,17240,2003
Portugal,Male,17870,2003
Sweden,Female,1824,2003
Sweden,Male,1715,2003
Switzerland,Female,19664,2003
Switzerland,Male,20563,2003
Other Europe,Female,7871,2003
Other Europe,Male,8358,2003
Asia,Female,1009,2003
Asia,Male,2020,2003
India,Female,201,2003
India,Male,434,2003
Japan,Female,726,2003
Japan,Male,1279,2003
Taiwan,Female,82,2003
Taiwan,Male,307,2003
Rest of the World,Female,1667,2003
Rest of the World,Male,2606,2003
Other Rest of the World,Female,1667,2003
Other Rest of the World,Male,2606,2003
Resident Dominicans,Female,141916,2004
Resident Dominicans,Male,160139,2004
Resident Foreigners,Female,11267,2004
Resident Foreigners,Male,19863,2004
Non-Resident Dominicans,Female,271555,2004
Non-Resident Dominicans,Male,305945,2004
Non-Resident Foreigners,Female,1383916,2004
Non-Resident Foreigners,Male,1488764,2004
North America,Female,670304,2004
North America,Male,725778,2004
Canada,Female,230951,2004
Canada,Male,217975,2004
United States,Female,434528,2004
United States,Male,498489,2004
Mexico,Female,4825,2004
Mexico,Male,9314,2004
Central America and Caribbean,Female,40830,2004
Central America and Caribbean,Male,45872,2004
Aruba,Female,71,2004
Aruba,Male,50,2004
Costa Rica,Female,1016,2004
Costa Rica,Male,1754,2004
Cuba,Female,3253,2004
Cuba,Male,3825,2004
Curacao,Female,150,2004
Curacao,Male,362,2004
El Salvador,Female,704,2004
El Salvador,Male,923,2004
Guatemala,Female,792,2004
Guatemala,Male,1588,2004
Haiti,Female,1663,2004
Haiti,Male,3440,2004
Honduras,Female,401,2004
Honduras,Male,533,2004
Jamaica,Female,402,2004
Jamaica,Male,593,2004
Panama,Female,1003,2004
Panama,Male,1801,2004
Puerto Rico,Female,29538,2004
Puerto Rico,Male,28490,2004
Saint Martin,Female,120,2004
Saint Martin,Male,230,2004
Other Caribbean,Female,1717,2004
Other Caribbean,Male,2283,2004
South America,Female,41832,2004
South America,Male,52441,2004
Argentina,Female,3571,2004
Argentina,Male,5569,2004
Bolivia,Female,231,2004
Bolivia,Male,240,2004
Brazil,Female,1955,2004
Brazil,Male,3296,2004
Colombia,Female,10539,2004
Colombia,Male,11423,2004
Chile,Female,8454,2004
Chile,Male,9021,2004
Ecuador,Female,1911,2004
Ecuador,Male,2325,2004
Peru,Female,3981,2004
Peru,Male,4900,2004
Venezuela,Female,10709,2004
Venezuela,Male,14715,2004
Other South America,Female,481,2004
Other South America,Male,952,2004
Europe,Female,628007,2004
Europe,Male,659777,2004
Germany,Female,112404,2004
Germany,Male,120742,2004
Austria,Female,5139,2004
Austria,Male,5378,2004
Belgium,Female,20984,2004
Belgium,Male,20703,2004
Spain,Female,109981,2004
Spain,Male,118304,2004
Finland,Female,2341,2004
Finland,Male,2077,2004
France,Female,148455,2004
France,Male,151986,2004
Netherlands,Female,26224,2004
Netherlands,Male,28679,2004
United Kingdom,Female,98975,2004
United Kingdom,Male,99039,2004
Italy,Female,57821,2004
Italy,Male,66183,2004
Portugal,Female,15183,2004
Portugal,Male,14912,2004
Sweden,Female,3827,2004
Sweden,Male,4086,2004
Switzerland,Female,18268,2004
Switzerland,Male,19498,2004
Other Europe,Female,8405,2004
Other Europe,Male,8190,2004
Asia,Female,1081,2004
Asia,Male,2246,2004
India,Female,160,2004
India,Male,371,2004
Japan,Female,769,2004
Japan,Male,1523,2004
Taiwan,Female,152,2004
Taiwan,Male,352,2004
Rest of the World,Female,1862,2004
Rest of the World,Male,2650,2004
Other Rest of the World,Female,1862,2004
Other Rest of the World,Male,2650,2004
Resident Dominicans,Female,168464,2005
Resident Dominicans,Male,186691,2005
Resident Foreigners,Female,14023,2005
Resident Foreigners,Male,21425,2005
Non-Resident Dominicans,Female,279152,2005
Non-Resident Dominicans,Male,323293,2005
Non-Resident Foreigners,Female,1489472,2005
Non-Resident Foreigners,Male,1598775,2005
North America,Female,697194,2005
North America,Male,757862,2005
Canada,Female,219388,2005
Canada,Male,207686,2005
United States,Female,470957,2005
United States,Male,539055,2005
Mexico,Female,6849,2005
Mexico,Male,11121,2005
Central America and Caribbean,Female,50990,2005
Central America and Caribbean,Male,58223,2005
Aruba,Female,70,2005
Aruba,Male,60,2005
Costa Rica,Female,1297,2005
Costa Rica,Male,2216,2005
Cuba,Female,5325,2005
Cuba,Male,6651,2005
Curacao,Female,221,2005
Curacao,Male,499,2005
El Salvador,Female,829,2005
El Salvador,Male,1458,2005
Guatemala,Female,1188,2005
Guatemala,Male,2243,2005
Haiti,Female,2933,2005
Haiti,Male,5553,2005
Honduras,Female,637,2005
Honduras,Male,1036,2005
Jamaica,Female,681,2005
Jamaica,Male,965,2005
Panama,Female,948,2005
Panama,Male,2247,2005
Puerto Rico,Female,33957,2005
Puerto Rico,Male,31386,2005
Saint Martin,Female,110,2005
Saint Martin,Male,249,2005
Other Caribbean,Female,2794,2005
Other Caribbean,Male,3660,2005
South America,Female,53156,2005
South America,Male,63912,2005
Argentina,Female,5821,2005
Argentina,Male,8093,2005
Bolivia,Female,301,2005
Bolivia,Male,330,2005
Brazil,Female,2737,2005
Brazil,Male,4853,2005
Colombia,Female,11308,2005
Colombia,Male,12793,2005
Chile,Female,9056,2005
Chile,Male,9642,2005
Ecuador,Female,3092,2005
Ecuador,Male,3452,2005
Peru,Female,4629,2005
Peru,Male,5275,2005
Venezuela,Female,15368,2005
Venezuela,Male,18440,2005
Other South America,Female,844,2005
Other South America,Male,1034,2005
Europe,Female,683797,2005
Europe,Male,711612,2005
Germany,Female,114795,2005
Germany,Male,120005,2005
Austria,Female,6488,2005
Austria,Male,6682,2005
Belgium,Female,21421,2005
Belgium,Male,21848,2005
Bulgaria,Female,139,2005
Bulgaria,Male,142,2005
Czechoslovakia,Female,877,2005
Czechoslovakia,Male,931,2005
Denmark,Female,351,2005
Denmark,Male,591,2005
Scotland,Female,2853,2005
Scotland,Male,2844,2005
Spain,Female,125312,2005
Spain,Male,130363,2005
Finland,Female,3108,2005
Finland,Male,3531,2005
France,Female,155859,2005
France,Male,153670,2005
Netherlands,Female,29804,2005
Netherlands,Male,32863,2005
Hungary,Female,310,2005
Hungary,Male,280,2005
United Kingdom,Female,104781,2005
United Kingdom,Male,113164,2005
Ireland,Female,2081,2005
Ireland,Male,2157,2005
Italy,Female,62746,2005
Italy,Male,71208,2005
Luxembourg,Female,111,2005
Luxembourg,Male,160,2005
Norway,Female,477,2005
Norway,Male,651,2005
Poland,Female,3591,2005
Poland,Male,3015,2005
Portugal,Female,18731,2005
Portugal,Male,17424,2005
Romania,Female,230,2005
Romania,Male,209,2005
Russia,Female,7505,2005
Russia,Male,6728,2005
Sweden,Female,4441,2005
Sweden,Male,4404,2005
Switzerland,Female,15989,2005
Switzerland,Male,17201,2005
Other Europe,Female,1797,2005
Other Europe,Male,1541,2005
Asia,Female,1257,2005
Asia,Male,2305,2005
India,Female,248,2005
India,Male,541,2005
Japan,Female,700,2005
Japan,Male,1353,2005
Thailand,Male,20,2005
Taiwan,Female,309,2005
Taiwan,Male,391,2005
Rest of the World,Female,3078,2005
Rest of the World,Male,4861,2005
Other Rest of the World,Female,3078,2005
Other Rest of the World,Male,4861,2005
Resident Dominicans,Female,196674,2006
Resident Dominicans,Male,183871,2006
Resident Foreigners,Female,16814,2006
Resident Foreigners,Male,21351,2006
Non-Resident Dominicans,Female,308603,2006
Non-Resident Dominicans,Male,314346,2006
Non-Resident Foreigners,Female,1621371,2006
Non-Resident Foreigners,Male,1720735,2006
North America,Female,790674,2006
North America,Male,834286,2006
Canada,Female,266804,2006
Canada,Male,242519,2006
United States,Female,515761,2006
United States,Male,576556,2006
Mexico,Female,8109,2006
Mexico,Male,15211,2006
Central America and Caribbean,Female,66276,2006
Central America and Caribbean,Male,80899,2006
Bahamas,Female,300,2006
Bahamas,Male,973,2006
Turks and Caicos Islands,Female,342,2006
Turks and Caicos Islands,Male,835,2006
Costa Rica,Female,1609,2006
Costa Rica,Male,3218,2006
Cuba,Female,8050,2006
Cuba,Male,12127,2006
Curacao,Female,240,2006
Curacao,Male,563,2006
El Salvador,Female,893,2006
El Salvador,Male,1502,2006
Guatemala,Female,1407,2006
Guatemala,Male,2723,2006
Haiti,Female,3675,2006
Haiti,Male,6056,2006
Honduras,Female,841,2006
Honduras,Male,1183,2006
Jamaica,Female,1021,2006
Jamaica,Male,1555,2006
Nicaragua,Female,503,2006
Nicaragua,Male,835,2006
Panama,Female,1702,2006
Panama,Male,3291,2006
Puerto Rico,Female,43679,2006
Puerto Rico,Male,42097,2006
Trinidad and Tobago,Female,705,2006
Trinidad and Tobago,Male,1297,2006
Other Caribbean,Female,1309,2006
Other Caribbean,Male,2644,2006
South America,Female,59493,2006
South America,Male,70069,2006
Argentina,Female,6012,2006
Argentina,Male,7709,2006
Bolivia,Female,270,2006
Bolivia,Male,360,2006
Brazil,Female,4146,2006
Brazil,Male,6241,2006
Colombia,Female,11372,2006
Colombia,Male,13110,2006
Chile,Female,9801,2006
Chile,Male,9719,2006
Ecuador,Female,5312,2006
Ecuador,Male,5991,2006
Peru,Female,4552,2006
Peru,Male,5564,2006
Uruguay,Female,270,2006
Uruguay,Male,601,2006
Venezuela,Female,17448,2006
Venezuela,Male,20332,2006
Other South America,Female,310,2006
Other South America,Male,442,2006
Europe,Female,699810,2006
Europe,Male,726112,2006
Germany,Female,108617,2006
Germany,Male,118120,2006
Austria,Female,4361,2006
Austria,Male,4810,2006
Belgium,Female,23242,2006
Belgium,Male,22566,2006
Bulgaria,Female,200,2006
Bulgaria,Male,250,2006
Denmark,Female,532,2006
Denmark,Male,931,2006
Scotland,Female,751,2006
Scotland,Male,513,2006
Spain,Female,132495,2006
Spain,Male,141022,2006
Finland,Female,1991,2006
Finland,Male,1822,2006
France,Female,154703,2006
France,Male,151599,2006
Greece,Female,381,2006
Greece,Male,813,2006
Netherlands,Female,31883,2006
Netherlands,Male,33016,2006
Hungary,Female,190,2006
Hungary,Male,311,2006
United Kingdom,Female,122302,2006
United Kingdom,Male,120257,2006
Ireland,Female,529,2006
Ireland,Male,701,2006
Italy,Female,67033,2006
Italy,Male,77082,2006
Luxembourg,Female,50,2006
Luxembourg,Male,80,2006
Norway,Female,611,2006
Norway,Male,644,2006
Poland,Female,5745,2006
Poland,Male,5687,2006
Portugal,Female,15256,2006
Portugal,Male,15061,2006
Romania,Female,250,2006
Romania,Male,300,2006
Russia,Female,8473,2006
Russia,Male,7986,2006
Sweden,Female,2272,2006
Sweden,Male,2794,2006
Switzerland,Female,14550,2006
Switzerland,Male,16473,2006
Ukraine,Female,1173,2006
Ukraine,Male,974,2006
Other Europe,Female,2220,2006
Other Europe,Male,2300,2006
Asia,Female,4050,2006
Asia,Male,7843,2006
South Korea,Female,491,2006
South Korea,Male,945,2006
China,Female,331,2006
China,Male,564,2006
India,Female,533,2006
India,Male,1177,2006
Israel,Female,452,2006
Israel,Male,1497,2006
Japan,Female,814,2006
Japan,Male,1494,2006
Taiwan,Female,250,2006
Taiwan,Male,514,2006
Other Asia,Female,1179,2006
Other Asia,Male,1652,2006
Rest of the World,Female,1068,2006
Rest of the World,Male,1526,2006
Australia,Female,381,2006
Australia,Male,742,2006
Other Rest of the World,Female,687,2006
Other Rest of the World,Male,784,2006
Resident Dominicans,Female,196235,2007
Resident Dominicans,Male,205739,2007
Resident Foreigners,Female,18080,2007
Resident Foreigners,Male,28369,2007
Non-Resident Dominicans,Female,288895,2007
Non-Resident Dominicans,Male,292313,2007
Non-Resident Foreigners,Female,1623107,2007
Non-Resident Foreigners,Male,1775267,2007
North America,Female,832908,2007
North America,Male,880713,2007
Canada,Female,306621,2007
Canada,Male,285250,2007
United States,Female,519555,2007
United States,Male,580351,2007
Mexico,Female,6732,2007
Mexico,Male,15112,2007
Central America and Caribbean,Female,70351,2007
Central America and Caribbean,Male,101529,2007
Aruba,Female,1174,2007
Aruba,Male,1180,2007
Turks and Caicos Islands,Female,380,2007
Turks and Caicos Islands,Male,1074,2007
Costa Rica,Female,3615,2007
Costa Rica,Male,5944,2007
Cuba,Female,1763,2007
Cuba,Male,2158,2007
Curacao,Female,1922,2007
Curacao,Male,2775,2007
El Salvador,Female,1181,2007
El Salvador,Male,2092,2007
Guadeloupe,Female,2114,2007
Guadeloupe,Male,2356,2007
Guatemala,Female,1685,2007
Guatemala,Male,3104,2007
Haiti,Female,2862,2007
Haiti,Male,4900,2007
Honduras,Female,682,2007
Honduras,Male,1157,2007
Jamaica,Female,527,2007
Jamaica,Male,1305,2007
Martinique,Female,1112,2007
Martinique,Male,1380,2007
Panama,Female,2193,2007
Panama,Male,5233,2007
Puerto Rico,Female,45046,2007
Puerto Rico,Male,59231,2007
Saint Martin,Female,905,2007
Saint Martin,Male,1794,2007
Trinidad and Tobago,Female,818,2007
Trinidad and Tobago,Male,1039,2007
U.S. Virgin Islands,Female,510,2007
U.S. Virgin Islands,Male,1101,2007
Other Caribbean,Female,1862,2007
Other Caribbean,Male,3706,2007
South America,Female,73868,2007
South America,Male,86919,2007
Argentina,Female,12835,2007
Argentina,Male,14797,2007
Bolivia,Female,482,2007
Bolivia,Male,589,2007
Brazil,Female,3864,2007
Brazil,Male,7076,2007
Colombia,Female,12320,2007
Colombia,Male,13749,2007
Chile,Female,10381,2007
